timestamp_us,raw
85910900,1899.0
85912900,1904.0
85914900,1901.0
85916900,1893.0
85918900,1900.0
85920900,1907.0
85922900,1895.0
85924900,1908.0
85926900,1905.0
85928900,1902.0
85930900,1904.0
85932900,1907.0
85934900,1914.0
85936900,1907.0
85938900,1917.0
85940900,1911.0
85942900,1917.0
85944900,1917.0
85946900,1909.0
85948900,1920.0
85950900,1920.0
85952900,1918.0
85954900,1911.0
85956900,1912.0
85958900,1907.0
85960899,1914.0
85962900,1911.0
85964900,1904.0
85966900,1902.0
85968900,1904.0
85970900,1889.0
85972900,1899.0
85974900,1900.0
85976900,1898.0
85978899,1899.0
85980900,1901.0
85982900,1903.0
85984900,1894.0
85986900,1894.0
85988900,1904.0
85990900,1890.0
85992899,1872.0
85994900,1898.0
85996900,1894.0
85998900,1899.0
86000899,1900.0
86002900,1891.0
86004900,1899.0
86006900,1898.0
86008900,1897.0
86010900,1900.0
86012900,1899.0
86014900,1898.0
86016900,1899.0
86018900,1901.0
86020900,1897.0
86022900,1904.0
86024900,1901.0
86026900,1902.0
86028900,1904.0
86030900,1904.0
86032900,1906.0
86034899,1903.0
86036900,1909.0
86038900,1904.0
86040900,1911.0
86042899,1907.0
86044900,1914.0
86046899,1914.0
86048900,1911.0
86050900,1910.0
86052899,1917.0
86054900,1914.0
86056900,1906.0
86058900,1909.0
86060900,1905.0
86062900,1905.0
86064900,1904.0
86066900,1908.0
86068899,1904.0
86070900,1900.0
86072900,1895.0
86074900,1893.0
86076900,1898.0
86078900,1892.0
86080900,1903.0
86082900,1901.0
86084899,1895.0
86086900,1902.0
86088900,1898.0
86090900,1899.0
86092900,1904.0
86094900,1891.0
86096900,1899.0
86098900,1899.0
86100900,1904.0
86102899,1902.0
86104899,1895.0
86106900,1898.0
86108900,1898.0
86110900,1893.0
86112900,1895.0
86114900,1904.0
86116899,1947.0
86118900,1900.0
86120899,1897.0
86122900,1905.0
86124900,1939.0
86126899,1904.0
86128900,1893.0
86130900,1904.0
86132900,1904.0
86134900,1901.0
86136899,1890.0
86138900,1910.0
86140900,1953.0
86142900,1934.0
86144900,1935.0
86146899,1915.0
86148900,1920.0
86150900,1906.0
86152899,1939.0
86154900,1913.0
86156900,1904.0
86158900,1951.0
86160900,1906.0
86162899,1913.0
86164900,1904.0
86166900,1904.0
86168900,1903.0
86170900,1893.0
86172900,1890.0
86174900,1932.0
86176900,1862.0
86178900,1901.0
86180900,1888.0
86182900,1818.0
86184900,1891.0
86186900,1889.0
86188900,1906.0
86190900,1899.0
86192900,1894.0
86194900,1890.0
86196900,1871.0
86198900,1936.0
86200900,1879.0
86202900,1930.0
86204900,1875.0
86206900,1903.0
86208900,1863.0
86210900,1895.0
86212900,1907.0
86214900,1902.0
86216900,1947.0
86218900,1813.0
86220900,1922.0
86222900,1899.0
86224900,1873.0
86226900,1903.0
86228900,1902.0
86230900,1902.0
86232900,1937.0
86234900,1901.0
86236900,1908.0
86238900,2060.0
86240900,1922.0
86242900,1911.0
86244900,1863.0
86246900,1910.0
86248900,1913.0
86250900,1938.0
86252900,1915.0
86254900,1950.0
86256900,1915.0
86258900,1910.0
86260900,1919.0
86262899,1911.0
86264900,1904.0
86266900,1904.0
86268900,1897.0
86270900,1904.0
86272900,1897.0
86274900,1909.0
86276900,1897.0
86278900,1899.0
86280900,1910.0
86282900,1902.0
86284900,1897.0
86286900,1920.0
86288900,1879.0
86290900,1904.0
86292899,1913.0
86294900,1909.0
86296900,1872.0
86298900,1904.0
86300900,1917.0
86302900,1897.0
86304899,1901.0
86306900,1922.0
86308900,1910.0
86310900,1915.0
86312900,1897.0
86314900,1911.0
86316900,1899.0
86318900,1875.0
86320900,1901.0
86322900,1904.0
86324900,1921.0
86326900,1901.0
86328900,1892.0
86330900,1913.0
86332900,1919.0
86334900,1917.0
86336900,1979.0
86338900,1895.0
86340900,1911.0
86342900,1871.0
86344900,1921.0
86346899,1897.0
86348900,1935.0
86350899,1891.0
86352900,1911.0
86354900,1891.0
86356899,1905.0
86358900,1936.0
86360900,1905.0
86362900,1895.0
86364900,1910.0
86366900,1904.0
86368900,1901.0
86370900,1898.0
86372900,1910.0
86374900,1909.0
86376900,1902.0
86378900,1889.0
86380899,1886.0
86382899,1898.0
86384900,1904.0
86386900,1898.0
86388900,1984.0
86390900,1904.0
86392900,1889.0
86394900,1904.0
86396900,1907.0
86398900,1879.0
86400900,1888.0
86402900,1936.0
86404900,1887.0
86406900,1875.0
86408900,1899.0
86410900,1899.0
86412900,1898.0
86414900,1886.0
86416900,1899.0
86418900,1897.0
86420900,1891.0
86422900,1904.0
86424900,1899.0
86426900,1902.0
86428900,1898.0
86430900,1906.0
86432900,1902.0
86434900,1913.0
86436900,1931.0
86438900,1904.0
86440900,1911.0
86442900,1913.0
86444900,1910.0
86446900,1904.0
86448900,1915.0
86450899,1913.0
86452900,1906.0
86454900,1909.0
86456899,1910.0
86458900,1907.0
86460900,1903.0
86462900,1915.0
86464900,1910.0
86466900,1896.0
86468900,1899.0
86470900,1903.0
86472900,1920.0
86474900,1904.0
86476900,1873.0
86478900,1900.0
86480900,1894.0
86482900,1900.0
86484900,1891.0
86486900,1899.0
86488900,1904.0
86490900,1897.0
86492900,1894.0
86494900,1898.0
86496900,1891.0
86498900,1902.0
86500900,1925.0
86502900,1898.0
86504900,1887.0
86506900,1903.0
86508900,1903.0
86510900,1891.0
86512899,1903.0
86514899,1894.0
86516900,1903.0
86518900,1891.0
86520900,1899.0
86522900,1904.0
86524900,1904.0
86526900,1897.0
86528900,1893.0
86530900,1890.0
86532900,1904.0
86534900,1907.0
86536900,1908.0
86538900,1914.0
86540899,1910.0
86542900,1916.0
86544900,1890.0
86546900,1919.0
86548900,1916.0
86550900,1907.0
86552900,1914.0
86554900,1909.0
86556900,1913.0
86558900,1904.0
86560900,1909.0
86562900,1904.0
86564899,1903.0
86566900,1904.0
86568900,1889.0
86570900,1903.0
86572900,1902.0
86574900,1895.0
86576900,1906.0
86578900,1898.0
86580900,1903.0
86582900,1896.0
86584900,1902.0
86586900,1901.0
86588900,1901.0
86590900,1893.0
86592900,1900.0
